,code,market,decimal,prePrice,details
370,688103,1,2,53.73,"11:16:18,51.61,2,1,2"
371,688103,1,2,53.73,"11:16:21,51.61,7,1,2"
372,688103,1,2,53.73,"11:16:30,51.51,2,1,1"
373,688103,1,2,53.73,"11:16:48,51.61,2,2,2"
374,688103,1,2,53.73,"11:17:06,51.62,2,2,2"
375,688103,1,2,53.73,"11:17:33,51.90,2,2,2"
376,688103,1,2,53.73,"11:18:09,51.75,2,1,2"
377,688103,1,2,53.73,"11:18:30,51.75,6,1,2"
378,688103,1,2,53.73,"11:18:33,51.76,2,1,2"
379,688103,1,2,53.73,"11:18:51,51.75,7,1,1"
380,688103,1,2,53.73,"11:18:54,51.88,4,2,2"
381,688103,1,2,53.73,"11:18:57,51.75,2,2,1"
382,688103,1,2,53.73,"11:19:30,51.88,2,1,2"
383,688103,1,2,53.73,"11:20:00,51.89,3,1,2"
384,688103,1,2,53.73,"11:20:33,51.88,2,1,2"
385,688103,1,2,53.73,"11:20:57,51.90,2,2,2"
386,688103,1,2,53.73,"11:21:27,51.90,2,1,2"
387,688103,1,2,53.73,"11:21:48,51.50,4,3,1"
388,688103,1,2,53.73,"11:22:48,51.90,2,1,2"
389,688103,1,2,53.73,"11:23:15,51.90,2,1,2"
390,688103,1,2,53.73,"11:23:36,51.54,7,2,1"
391,688103,1,2,53.73,"11:23:39,51.51,2,1,1"
392,688103,1,2,53.73,"11:23:42,51.77,2,1,2"
393,688103,1,2,53.73,"11:24:06,51.77,2,2,2"
394,688103,1,2,53.73,"11:24:24,51.77,2,1,2"
395,688103,1,2,53.73,"11:24:42,51.77,2,1,2"
396,688103,1,2,53.73,"11:25:12,51.79,2,1,2"
397,688103,1,2,53.73,"11:25:39,51.79,2,2,2"
398,688103,1,2,53.73,"11:26:00,51.79,2,1,2"
399,688103,1,2,53.73,"11:26:03,51.57,4,2,1"
400,688103,1,2,53.73,"11:26:27,51.78,2,1,2"
401,688103,1,2,53.73,"13:00:12,51.59,8,2,1"
402,688103,1,2,53.73,"13:00:19,51.60,2,1,2"
403,688103,1,2,53.73,"13:00:22,51.58,5,4,1"
404,688103,1,2,53.73,"13:00:27,51.54,8,4,1"
405,688103,1,2,53.73,"13:00:30,51.50,12,5,1"
406,688103,1,2,53.73,"13:00:33,51.50,8,7,1"
407,688103,1,2,53.73,"13:00:36,51.30,18,7,1"
408,688103,1,2,53.73,"13:02:00,51.32,4,1,1"
409,688103,1,2,53.73,"13:02:09,51.48,2,1,2"
410,688103,1,2,53.73,"13:02:15,51.31,2,1,1"
411,688103,1,2,53.73,"13:04:15,51.31,12,5,1"
412,688103,1,2,53.73,"13:09:00,51.31,108,5,1"
413,688103,1,2,53.73,"13:09:03,51.31,2,2,1"
414,688103,1,2,53.73,"13:09:06,51.44,4,1,2"
415,688103,1,2,53.73,"13:09:12,51.46,4,2,2"
416,688103,1,2,53.73,"13:09:21,51.33,7,2,1"
417,688103,1,2,53.73,"13:09:24,51.32,2,1,1"
418,688103,1,2,53.73,"13:09:27,51.47,4,2,2"
419,688103,1,2,53.73,"13:09:36,51.47,5,1,2"
420,688103,1,2,53.73,"13:11:36,51.40,3,1,2"
421,688103,1,2,53.73,"13:12:03,51.33,2,1,1"
422,688103,1,2,53.73,"13:12:06,51.40,2,1,2"
423,688103,1,2,53.73,"13:12:15,51.32,1,1,1"
424,688103,1,2,53.73,"13:12:18,51.33,3,2,2"
425,688103,1,2,53.73,"13:12:27,51.31,9,2,1"
426,688103,1,2,53.73,"13:13:12,51.33,2,1,1"
427,688103,1,2,53.73,"13:13:24,51.30,5,4,1"
428,688103,1,2,53.73,"13:13:27,51.31,5,3,2"
429,688103,1,2,53.73,"13:13:33,51.23,2,1,1"
430,688103,1,2,53.73,"13:14:00,51.24,2,1,1"
431,688103,1,2,53.73,"13:14:06,51.22,5,2,1"
432,688103,1,2,53.73,"13:14:09,51.21,3,1,1"
433,688103,1,2,53.73,"13:14:27,51.19,2,1,1"
434,688103,1,2,53.73,"13:15:15,51.19,1,1,1"
435,688103,1,2,53.73,"13:15:21,51.18,12,2,1"
436,688103,1,2,53.73,"13:15:27,51.16,6,3,1"
437,688103,1,2,53.73,"13:15:30,51.14,20,5,1"
438,688103,1,2,53.73,"13:15:36,51.12,3,1,1"
439,688103,1,2,53.73,"13:15:39,51.02,23,5,1"
440,688103,1,2,53.73,"13:15:42,51.00,29,11,1"
441,688103,1,2,53.73,"13:15:45,51.00,0,1,1"
442,688103,1,2,53.73,"13:15:48,51.01,3,2,2"
443,688103,1,2,53.73,"13:15:54,50.82,9,2,1"
444,688103,1,2,53.73,"13:15:57,50.81,14,4,1"
445,688103,1,2,53.73,"13:16:00,50.82,2,1,2"
446,688103,1,2,53.73,"13:16:03,50.82,5,3,2"
447,688103,1,2,53.73,"13:16:45,51.00,5,2,2"
